Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.2978515625,1.12884521484375e-05,-0.322265625,-2.342529296875e-06,0.07080078125,-1.65985107421875e-06
Cycle 2,0.341796875,1.048583984375e-05,-0.32470703125,-2.489013671875e-06,0.0634765625,-1.4202880859375e-06
Cycle 3,0.3662109375,9.9700927734375e-06,-0.33203125,-2.4822998046875e-06,0.05615234375,-1.204833984375e-06
Cycle 4,0.39306640625,9.4390869140625e-06,-0.33935546875,-2.3486328125e-06,0.048828125,-9.3536376953125e-07
Cycle 5,0.39794921875,8.9691162109375e-06,-0.3515625,-2.11578369140625e-06,0.03662109375,-6.4788818359375e-07
Cycle 6,0.39794921875,8.184814453125e-06,-0.36865234375,-1.84295654296875e-06,0.02685546875,-4.06494140625e-07
Cycle 7,0.39794921875,7.080078125e-06,-0.39794921875,-1.58905029296875e-06,0.03173828125,-2.650146484375e-07
Cycle 8,0.39794921875,5.682373046875e-06,-0.39794921875,-1.27227783203125e-06,0.05126953125,-2.14630126953125e-07
Cycle 9,0.39794921875,4.33837890625e-06,-0.39794921875,-9.6282958984375e-07,0.05126953125,-2.05322265625e-07
Cycle 10,0.39794921875,3.19549560546875e-06,-0.39794921875,-7.843017578125e-07,0.048828125,-2.05108642578125e-07
Cycle 11,0.39794921875,2.34954833984375e-06,-0.39794921875,-7.037353515625e-07,0.048828125,-2.0440673828125e-07
Cycle 12,0.39794921875,1.759033203125e-06,-0.39794921875,-6.6650390625e-07,0.04150390625,-2.0391845703125e-07
Cycle 13,0.39794921875,1.32843017578125e-06,-0.39794921875,-6.4788818359375e-07,0.04150390625,-2.02117919921875e-07
Cycle 14,0.39794921875,1.04156494140625e-06,-0.39794921875,-6.06689453125e-07,0.0390625,-1.99920654296875e-07
Cycle 15,0.39794921875,8.441162109375e-07,-0.39794921875,-6.0546875e-07,0.0390625,-1.97296142578125e-07
Cycle 16,0.39794921875,7.0404052734375e-07,-0.39794921875,-6.0638427734375e-07,0.0390625,-1.94732666015625e-07
Cycle 17,0.39794921875,6.0272216796875e-07,-0.39794921875,-6.0394287109375e-07,0.0390625,-1.91802978515625e-07
Cycle 18,0.39794921875,5.2825927734375e-07,-0.39794921875,-6.1126708984375e-07,0.04150390625,-1.89117431640625e-07
Cycle 19,0.39794921875,4.718017578125e-07,-0.39794921875,-6.243896484375e-07,0.0390625,-1.8682861328125e-07
Cycle 20,0.39794921875,4.295654296875e-07,-0.39794921875,-6.182861328125e-07,0.04150390625,-1.84783935546875e-07
