Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.2685546875,8.367919921875e-05,-0.32470703125,-1.71722412109375e-05,0.068359375,-4.99267578125e-05
Cycle 2,0.302734375,7.11669921875e-05,-0.3271484375,-1.88873291015625e-05,0.0634765625,-4.33929443359375e-05
Cycle 3,0.3173828125,6.7840576171875e-05,-0.32958984375,-1.90460205078125e-05,0.05859375,-4.0704345703125e-05
Cycle 4,0.3271484375,6.634521484375e-05,-0.33203125,-1.91375732421875e-05,0.05615234375,-3.91815185546875e-05
Cycle 5,0.3369140625,6.512451171875e-05,-0.33447265625,-1.9268798828125e-05,0.0537109375,-3.797607421875e-05
Cycle 6,0.33935546875,6.3995361328125e-05,-0.3369140625,-1.93756103515625e-05,0.05126953125,-3.687744140625e-05
Cycle 7,0.3466796875,6.3018798828125e-05,-0.3369140625,-1.94427490234375e-05,0.048828125,-3.58734130859375e-05
Cycle 8,0.3515625,6.219482421875e-05,-0.33935546875,-1.94427490234375e-05,0.04638671875,-3.49365234375e-05
Cycle 9,0.35888671875,6.15234375e-05,-0.341796875,-1.94000244140625e-05,0.0439453125,-3.408203125e-05
Cycle 10,0.36376953125,6.0882568359375e-05,-0.34423828125,-1.9317626953125e-05,0.0439453125,-3.326416015625e-05
Cycle 11,0.37109375,6.0333251953125e-05,-0.3466796875,-1.920166015625e-05,0.04150390625,-3.2452392578125e-05
Cycle 12,0.3759765625,5.9814453125e-05,-0.34912109375,-1.9049072265625e-05,0.0390625,-3.16162109375e-05
Cycle 13,0.37841796875,5.9356689453125e-05,-0.3515625,-1.88934326171875e-05,0.03662109375,-3.0810546875e-05
Cycle 14,0.3857421875,5.8868408203125e-05,-0.3564453125,-1.87347412109375e-05,0.0341796875,-2.99224853515625e-05
Cycle 15,0.39306640625,5.8349609375e-05,-0.35888671875,-1.85760498046875e-05,0.03173828125,-2.90374755859375e-05
Cycle 16,0.3955078125,5.7861328125e-05,-0.361328125,-1.83868408203125e-05,0.029296875,-2.81341552734375e-05
Cycle 17,0.39794921875,5.7342529296875e-05,-0.36376953125,-1.815185546875e-05,0.029296875,-2.720947265625e-05
Cycle 18,0.39794921875,5.6732177734375e-05,-0.36865234375,-1.7962646484375e-05,0.0244140625,-2.62451171875e-05
Cycle 19,0.39794921875,5.596923828125e-05,-0.37109375,-1.77581787109375e-05,0.0244140625,-2.5238037109375e-05
Cycle 20,0.39794921875,5.5084228515625e-05,-0.3759765625,-1.7547607421875e-05,0.01953125,-2.41973876953125e-05
Cycle 21,0.39794921875,5.4168701171875e-05,-0.37841796875,-1.72943115234375e-05,0.01953125,-2.31536865234375e-05
Cycle 22,0.39794921875,5.3253173828125e-05,-0.3857421875,-1.6998291015625e-05,0.0146484375,-2.2125244140625e-05
Cycle 23,0.39794921875,5.230712890625e-05,-0.38818359375,-1.668701171875e-05,0.01220703125,-2.1112060546875e-05
Cycle 24,0.39794921875,5.1239013671875e-05,-0.39306640625,-1.63604736328125e-05,0.009765625,-2.0068359375e-05
Cycle 25,0.39794921875,5.010986328125e-05,-0.39794921875,-1.600341796875e-05,0.00732421875,-1.9036865234375e-05
Cycle 26,0.39794921875,4.90020751953125e-05,-0.39794921875,-1.56097412109375e-05,0.00244140625,-1.8023681640625e-05
Cycle 27,0.39794921875,4.7772216796875e-05,-0.39794921875,-1.51763916015625e-05,0.0,-1.70166015625e-05
Cycle 28,0.39794921875,4.64263916015625e-05,-0.39794921875,-1.47125244140625e-05,0.0,-1.59881591796875e-05
Cycle 29,0.39794921875,4.49676513671875e-05,-0.39794921875,-1.42333984375e-05,0.0,-1.49200439453125e-05
Cycle 30,0.39794921875,4.3402099609375e-05,-0.39794921875,-1.3751220703125e-05,0.0,-1.3836669921875e-05
Cycle 31,0.39794921875,4.1766357421875e-05,-0.39794921875,-1.32049560546875e-05,0.0,-1.2744140625e-05
Cycle 32,0.39794921875,4.0118408203125e-05,-0.39794921875,-1.26556396484375e-05,0.0,-1.16912841796875e-05
Cycle 33,0.39794921875,3.8482666015625e-05,-0.39794921875,-1.20513916015625e-05,0.0,-1.064453125e-05
Cycle 34,0.39794921875,3.68194580078125e-05,-0.39794921875,-1.1444091796875e-05,0.0,-9.6405029296875e-06
Cycle 35,0.39794921875,3.51043701171875e-05,-0.39794921875,-1.08551025390625e-05,0.0,-8.6761474609375e-06
Cycle 36,0.39794921875,3.336181640625e-05,-0.39794921875,-1.0235595703125e-05,0.0,-7.7911376953125e-06
Cycle 37,0.39794921875,3.1634521484375e-05,-0.39794921875,-9.6343994140625e-06,0.0,-6.97021484375e-06
Cycle 38,0.39794921875,2.9986572265625e-05,-0.39794921875,-9.0118408203125e-06,0.0,-6.21337890625e-06
Cycle 39,0.39794921875,2.83355712890625e-05,-0.39794921875,-8.4197998046875e-06,0.0,-5.5267333984375e-06
Cycle 40,0.39794921875,2.67425537109375e-05,-0.39794921875,-7.8125e-06,0.0,-4.925537109375e-06
Cycle 41,0.39794921875,2.523193359375e-05,-0.39794921875,-7.2265625e-06,0.0,-4.39422607421875e-06
Cycle 42,0.39794921875,2.38006591796875e-05,-0.39794921875,-6.658935546875e-06,0.0,-3.941650390625e-06
