Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.3564453125,2.68096923828125e-05,-0.361328125,-4.9346923828125e-06,0.0390625,-1.2188720703125e-05
Cycle 2,0.39306640625,2.38128662109375e-05,-0.36376953125,-5.0384521484375e-06,0.0341796875,-1.0400390625e-05
Cycle 3,0.39794921875,2.3199462890625e-05,-0.361328125,-5.0018310546875e-06,0.03173828125,-9.796142578125e-06
Cycle 4,0.39794921875,2.28363037109375e-05,-0.36376953125,-4.9407958984375e-06,0.03173828125,-9.356689453125e-06
Cycle 5,0.39794921875,2.2515869140625e-05,-0.3662109375,-4.89501953125e-06,0.029296875,-8.990478515625e-06
Cycle 6,0.39794921875,2.2174072265625e-05,-0.3662109375,-4.8388671875e-06,0.02685546875,-8.6181640625e-06
Cycle 7,0.39794921875,2.18597412109375e-05,-0.3662109375,-4.76348876953125e-06,0.02197265625,-8.2489013671875e-06
Cycle 8,0.39794921875,2.14874267578125e-05,-0.37109375,-4.6954345703125e-06,0.02197265625,-7.8857421875e-06
Cycle 9,0.39794921875,2.11273193359375e-05,-0.36865234375,-4.58984375e-06,0.01708984375,-7.4920654296875e-06
Cycle 10,0.39794921875,2.07427978515625e-05,-0.37109375,-4.5135498046875e-06,0.0146484375,-7.1014404296875e-06
