Cycle,Anodic_E(V),Anodic_I(A),Cathodic_E(V),Cathodic_I(A)
Cycle 1,0.50048828125,9.82666015625e-06,-0.33935546875,-6.927490234375e-07
Cycle 2,0.37109375,8.7066650390625e-06,-0.341796875,-6.38427734375e-07
Cycle 3,0.4248046875,8.1756591796875e-06,-0.3515625,-5.1361083984375e-07
Cycle 4,0.50048828125,7.666015625e-06,-0.3662109375,-3.936767578125e-07
Cycle 5,0.50048828125,6.854248046875e-06,-0.390625,-3.0548095703125e-07
