Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.29296875,1.00616455078125e-05,-0.33935546875,-1.768798828125e-06,0.068359375,-6.8634033203125e-07
Cycle 2,0.3564453125,9.1278076171875e-06,-0.34423828125,-1.69677734375e-06,0.06103515625,-5.0567626953125e-07
Cycle 3,0.3955078125,8.63037109375e-06,-0.35400390625,-1.55029296875e-06,0.05126953125,-3.51898193359375e-07
Cycle 4,0.39794921875,7.928466796875e-06,-0.36865234375,-1.27197265625e-06,0.04150390625,-2.08892822265625e-07
Cycle 5,0.39794921875,6.72607421875e-06,-0.3955078125,-1.08978271484375e-06,0.0439453125,-1.444091796875e-07
Cycle 6,0.39794921875,5.230712890625e-06,-0.39794921875,-8.7646484375e-07,0.0439453125,-1.26190185546875e-07
Cycle 7,0.39794921875,3.804931640625e-06,-0.39794921875,-6.87255859375e-07,0.0439453125,-1.2579345703125e-07
Cycle 8,0.39794921875,2.65411376953125e-06,-0.39794921875,-6.1676025390625e-07,0.0439453125,-1.27471923828125e-07
Cycle 9,0.39794921875,1.8280029296875e-06,-0.39794921875,-5.8197021484375e-07,0.0439453125,-1.27899169921875e-07
Cycle 10,0.39794921875,1.28173828125e-06,-0.39794921875,-5.6793212890625e-07,0.0390625,-1.27532958984375e-07
Cycle 11,0.39794921875,9.3414306640625e-07,-0.39794921875,-5.46875e-07,0.0390625,-1.260986328125e-07
Cycle 12,0.39794921875,7.1014404296875e-07,-0.39794921875,-5.4595947265625e-07,0.0390625,-1.24755859375e-07
Cycle 13,0.39794921875,5.6182861328125e-07,-0.39794921875,-5.57861328125e-07,0.04150390625,-1.23291015625e-07
Cycle 14,0.39794921875,4.608154296875e-07,-0.39794921875,-5.7586669921875e-07,0.0390625,-1.220703125e-07
Cycle 15,0.39794921875,3.90625e-07,-0.39794921875,-5.6732177734375e-07,0.04150390625,-1.2066650390625e-07
Cycle 16,0.39794921875,3.399658203125e-07,-0.39794921875,-5.560302734375e-07,0.04150390625,-1.1944580078125e-07
Cycle 17,0.39794921875,3.03558349609375e-07,-0.39794921875,-5.5389404296875e-07,0.0390625,-1.18316650390625e-07
Cycle 18,0.39794921875,2.75115966796875e-07,-0.39794921875,-5.4351806640625e-07,0.0390625,-1.1737060546875e-07
Cycle 19,0.39794921875,2.5341796875e-07,-0.39794921875,-5.450439453125e-07,0.0439453125,-1.165771484375e-07
Cycle 20,0.39794921875,2.36175537109375e-07,-0.39794921875,-5.3314208984375e-07,0.0439453125,-1.1572265625e-07
