Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.29296875,9.2681884765625e-05,-0.33935546875,-1.74530029296875e-05,0.05859375,-5.120849609375e-05
Cycle 2,0.33203125,8.1634521484375e-05,-0.341796875,-1.83349609375e-05,0.0537109375,-4.54925537109375e-05
Cycle 3,0.3466796875,7.940673828125e-05,-0.34423828125,-1.81396484375e-05,0.05126953125,-4.332275390625e-05
Cycle 4,0.3564453125,7.855224609375e-05,-0.34912109375,-1.796875e-05,0.048828125,-4.1949462890625e-05
Cycle 5,0.36376953125,7.7880859375e-05,-0.34912109375,-1.793212890625e-05,0.04638671875,-4.09027099609375e-05
Cycle 6,0.36865234375,7.7301025390625e-05,-0.3515625,-1.7919921875e-05,0.0439453125,-3.99932861328125e-05
Cycle 7,0.3759765625,7.67822265625e-05,-0.35400390625,-1.790771484375e-05,0.04150390625,-3.91448974609375e-05
Cycle 8,0.38330078125,7.62939453125e-05,-0.3515625,-1.78985595703125e-05,0.0390625,-3.82965087890625e-05
Cycle 9,0.38818359375,7.568359375e-05,-0.3564453125,-1.7913818359375e-05,0.0390625,-3.74420166015625e-05
Cycle 10,0.3955078125,7.50732421875e-05,-0.35888671875,-1.79046630859375e-05,0.03662109375,-3.65203857421875e-05
Cycle 11,0.39794921875,7.4493408203125e-05,-0.361328125,-1.78802490234375e-05,0.0341796875,-3.56231689453125e-05
Cycle 12,0.39794921875,7.3883056640625e-05,-0.361328125,-1.788330078125e-05,0.0341796875,-3.47442626953125e-05
Cycle 13,0.39794921875,7.3272705078125e-05,-0.36865234375,-1.783447265625e-05,0.03173828125,-3.38409423828125e-05
Cycle 14,0.39794921875,7.2418212890625e-05,-0.37109375,-1.79412841796875e-05,0.029296875,-3.29254150390625e-05
Cycle 15,0.39794921875,7.122802734375e-05,-0.37353515625,-1.8060302734375e-05,0.029296875,-3.18206787109375e-05
Cycle 16,0.39794921875,6.9793701171875e-05,-0.3759765625,-1.8145751953125e-05,0.02685546875,-3.06488037109375e-05
Cycle 17,0.39794921875,6.8511962890625e-05,-0.37841796875,-1.81427001953125e-05,0.0244140625,-2.94891357421875e-05
Cycle 18,0.39794921875,6.732177734375e-05,-0.38330078125,-1.80572509765625e-05,0.02197265625,-2.83599853515625e-05
Cycle 19,0.39794921875,6.6070556640625e-05,-0.3857421875,-1.79779052734375e-05,0.01953125,-2.72247314453125e-05
Cycle 20,0.39794921875,6.475830078125e-05,-0.38818359375,-1.788330078125e-05,0.01708984375,-2.60528564453125e-05
Cycle 21,0.39794921875,6.3385009765625e-05,-0.390625,-1.773681640625e-05,0.0146484375,-2.48626708984375e-05
Cycle 22,0.39794921875,6.2042236328125e-05,-0.3955078125,-1.754150390625e-05,0.01220703125,-2.369384765625e-05
Cycle 23,0.39794921875,6.0699462890625e-05,-0.39794921875,-1.72637939453125e-05,0.009765625,-2.25341796875e-05
Cycle 24,0.39794921875,5.9356689453125e-05,-0.39794921875,-1.69525146484375e-05,0.009765625,-2.13775634765625e-05
Cycle 25,0.39794921875,5.804443359375e-05,-0.39794921875,-1.65283203125e-05,0.0048828125,-2.0233154296875e-05
Cycle 26,0.39794921875,5.67626953125e-05,-0.39794921875,-1.6046142578125e-05,0.00244140625,-1.91192626953125e-05
Cycle 27,0.39794921875,5.548095703125e-05,-0.39794921875,-1.55242919921875e-05,0.0,-1.8011474609375e-05
Cycle 28,0.39794921875,5.4107666015625e-05,-0.39794921875,-1.4984130859375e-05,0.0,-1.6900634765625e-05
Cycle 29,0.39794921875,5.2642822265625e-05,-0.39794921875,-1.4373779296875e-05,0.0,-1.57257080078125e-05
Cycle 30,0.39794921875,5.126953125e-05,-0.39794921875,-1.36749267578125e-05,0.0,-1.4544677734375e-05
Cycle 31,0.39794921875,4.986572265625e-05,-0.39794921875,-1.29791259765625e-05,0.0,-1.33880615234375e-05
Cycle 32,0.39794921875,4.84375e-05,-0.39794921875,-1.22802734375e-05,0.0,-1.22406005859375e-05
Cycle 33,0.39794921875,4.68536376953125e-05,-0.39794921875,-1.15692138671875e-05,0.0,-1.11083984375e-05
Cycle 34,0.39794921875,4.5196533203125e-05,-0.39794921875,-1.08612060546875e-05,0.0,-1.002197265625e-05
Cycle 35,0.39794921875,4.35455322265625e-05,-0.39794921875,-1.01531982421875e-05,0.0,-9.0179443359375e-06
Cycle 36,0.39794921875,4.18670654296875e-05,-0.39794921875,-9.454345703125e-06,0.0,-8.06884765625e-06
Cycle 37,0.39794921875,4.01702880859375e-05,-0.39794921875,-8.7799072265625e-06,0.0,-7.2113037109375e-06
Cycle 38,0.39794921875,3.84521484375e-05,-0.39794921875,-8.1298828125e-06,0.0,-6.4544677734375e-06
Cycle 39,0.39794921875,3.675537109375e-05,-0.39794921875,-7.513427734375e-06,0.0,-5.76171875e-06
Cycle 40,0.39794921875,3.50738525390625e-05,-0.39794921875,-6.9610595703125e-06,0.0,-5.1849365234375e-06
