Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.2783203125,3.4307861328125e-05,-0.3173828125,-9.4512939453125e-06,0.09033203125,-6.817626953125e-06
Cycle 2,0.31005859375,2.9052734375e-05,-0.3173828125,-8.3953857421875e-06,0.0830078125,-5.6640625e-06
Cycle 3,0.322265625,2.886962890625e-05,-0.322265625,-8.3251953125e-06,0.078125,-5.01708984375e-06
Cycle 4,0.3369140625,2.6605224609375e-05,-0.3271484375,-8.1573486328125e-06,0.07080078125,-4.44488525390625e-06
Cycle 5,0.35888671875,2.6312255859375e-05,-0.3369140625,-7.269287109375e-06,0.0634765625,-3.52386474609375e-06
Cycle 6,0.37841796875,2.6043701171875e-05,-0.34912109375,-6.756591796875e-06,0.0537109375,-2.821044921875e-06
Cycle 7,0.39794921875,2.53814697265625e-05,-0.36865234375,-6.3140869140625e-06,0.04150390625,-2.13653564453125e-06
Cycle 8,0.39794921875,2.313232421875e-05,-0.3955078125,-5.6732177734375e-06,0.02685546875,-1.55487060546875e-06
Cycle 9,0.39794921875,2.03704833984375e-05,-0.39794921875,-4.5611572265625e-06,0.0,-1.12152099609375e-06
Cycle 10,0.39794921875,1.6790771484375e-05,-0.39794921875,-3.150634765625e-06,0.0,-9.5001220703125e-07
Cycle 11,0.39794921875,1.3226318359375e-05,-0.39794921875,-2.15362548828125e-06,0.0,-8.9569091796875e-07
Cycle 12,0.39794921875,1.02264404296875e-05,-0.39794921875,-1.72882080078125e-06,0.0,-8.80126953125e-07
Cycle 13,0.39794921875,8.026123046875e-06,-0.39794921875,-1.57958984375e-06,0.0,-8.70361328125e-07
Cycle 14,0.39794921875,6.4300537109375e-06,-0.39794921875,-1.4923095703125e-06,0.0,-8.6212158203125e-07
Cycle 15,0.39794921875,5.3009033203125e-06,-0.39794921875,-1.4501953125e-06,0.0,-8.53271484375e-07
Cycle 16,0.39794921875,4.51568603515625e-06,-0.39794921875,-1.42242431640625e-06,0.0,-8.4442138671875e-07
Cycle 17,0.39794921875,3.9031982421875e-06,-0.39794921875,-1.41082763671875e-06,0.0,-8.355712890625e-07
Cycle 18,0.39794921875,3.42620849609375e-06,-0.39794921875,-1.4019775390625e-06,0.0,-8.2733154296875e-07
Cycle 19,0.39794921875,3.06060791015625e-06,-0.39794921875,-1.39404296875e-06,0.0,-8.1878662109375e-07
Cycle 20,0.39794921875,2.7801513671875e-06,-0.39794921875,-1.38641357421875e-06,0.0,-8.1085205078125e-07
