Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.2685546875,2.8607177734375e-05,-0.3076171875,-6.6131591796875e-06,0.09765625,-3.77105712890625e-06
Cycle 2,0.29541015625,2.6104736328125e-05,-0.31494140625,-5.72509765625e-06,0.09033203125,-2.66510009765625e-06
Cycle 3,0.31005859375,2.55950927734375e-05,-0.31982421875,-5.6427001953125e-06,0.0830078125,-2.18536376953125e-06
Cycle 4,0.32470703125,2.48626708984375e-05,-0.3271484375,-5.322265625e-06,0.078125,-1.76239013671875e-06
Cycle 5,0.34423828125,2.41302490234375e-05,-0.33935546875,-4.8095703125e-06,0.07080078125,-1.29913330078125e-06
Cycle 6,0.37353515625,2.33978271484375e-05,-0.3515625,-4.4775390625e-06,0.06103515625,-9.43603515625e-07
Cycle 7,0.39794921875,2.19940185546875e-05,-0.3759765625,-3.84490966796875e-06,0.0537109375,-6.3751220703125e-07
Cycle 8,0.39794921875,1.98455810546875e-05,-0.39794921875,-3.17138671875e-06,0.0390625,-4.4921875e-07
Cycle 9,0.39794921875,1.66717529296875e-05,-0.39794921875,-2.2222900390625e-06,0.0,-3.729248046875e-07
Cycle 10,0.39794921875,1.36016845703125e-05,-0.39794921875,-1.62078857421875e-06,0.0,-3.50372314453125e-07
Cycle 11,0.39794921875,1.08154296875e-05,-0.39794921875,-1.2158203125e-06,0.0,-3.3721923828125e-07
Cycle 12,0.39794921875,8.5845947265625e-06,-0.39794921875,-9.4329833984375e-07,0.0,-3.2928466796875e-07
Cycle 13,0.39794921875,6.787109375e-06,-0.39794921875,-8.36181640625e-07,0.0,-3.2476806640625e-07
Cycle 14,0.39794921875,5.2978515625e-06,-0.39794921875,-7.6690673828125e-07,0.0,-3.21014404296875e-07
Cycle 15,0.39794921875,4.15191650390625e-06,-0.39794921875,-7.2540283203125e-07,0.0,-3.1719970703125e-07
Cycle 16,0.39794921875,3.28765869140625e-06,-0.39794921875,-7.1197509765625e-07,0.0,-3.13568115234375e-07
Cycle 17,0.39794921875,2.6385498046875e-06,-0.39794921875,-7.03125e-07,0.0,-3.09478759765625e-07
Cycle 18,0.39794921875,2.16400146484375e-06,-0.39794921875,-6.9610595703125e-07,0.0,-3.06060791015625e-07
