Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.57,0.0,0.351,-0.0,14.703,-4.965,0.219,2.961,19.669,0.269
Cycle 2,0.56,0.0,0.351,-0.0,13.693,-5.112,0.209,2.679,18.805,0.282
Cycle 3,0.558,0.0,0.349,-0.0,13.287,-5.17,0.209,2.57,18.457,0.282
Cycle 4,0.555,0.0,0.346,-0.0,13.293,-5.371,0.209,2.475,18.665,0.282
Cycle 5,0.558,0.0,0.349,-0.0,12.851,-5.377,0.209,2.39,18.228,0.282
Cycle 6,0.558,0.0,0.349,-0.0,12.671,-5.353,0.209,2.367,18.024,0.282
Cycle 7,0.556,0.0,0.346,-0.0,12.527,-5.338,0.209,2.347,17.865,0.282
Cycle 8,0.556,0.0,0.346,-0.0,12.36,-5.273,0.209,2.344,17.633,0.282
Average,0.559,,0.348,,13.173,-5.245,0.21,2.517,18.418,0.28
