Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.588,0.0,0.288,-0.0,115.234,-66.071,0.3,1.744,181.305,0.197
Cycle 2,0.579,0.0,0.286,-0.0,106.72,-69.824,0.293,1.528,176.544,0.201
Cycle 3,0.576,0.0,0.286,-0.0,104.767,-69.611,0.29,1.505,174.377,0.203
Average,0.581,,0.287,,108.907,-68.502,0.294,1.593,177.409,0.2
