Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.62,0.0,0.305,-0.0,115.57,-60.547,0.315,1.909,176.117,0.187
Cycle 2,0.615,0.0,0.301,-0.0,110.535,-63.019,0.315,1.754,173.553,0.187
Cycle 3,0.615,0.0,0.303,-0.0,109.711,-63.812,0.312,1.719,173.523,0.189
Average,0.617,,0.303,,111.938,-62.459,0.314,1.794,174.398,0.188
