Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.532,0.0,0.318,-0.0,37.86,-19.492,0.215,1.942,57.352,0.275
Cycle 2,0.535,0.0,0.32,-0.0,36.832,-19.931,0.215,1.848,56.763,0.275
Cycle 3,0.537,0.0,0.32,-0.0,36.874,-20.053,0.217,1.839,56.927,0.272
Average,0.535,,0.319,,37.189,-19.825,0.215,1.876,57.014,0.274
