Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.606,0.0,0.308,-0.0,115.448,-63.782,0.298,1.81,179.23,0.198
Cycle 2,0.601,0.0,0.308,-0.0,108.643,-66.315,0.293,1.638,174.957,0.201
Cycle 3,0.596,0.0,0.308,-0.0,107.574,-66.803,0.288,1.61,174.377,0.205
Average,0.601,,0.308,,110.555,-65.633,0.293,1.686,176.188,0.202
