Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.525,0.0,0.31,-0.0,37.762,-20.242,0.215,1.866,58.005,0.275
Cycle 2,0.527,0.0,0.313,-0.0,36.639,-20.407,0.215,1.795,57.047,0.275
Cycle 3,0.532,0.0,0.313,-0.0,36.615,-20.486,0.219,1.787,57.101,0.269
Average,0.528,,0.312,,37.006,-20.379,0.216,1.816,57.384,0.273
