Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.559,0.0,0.35,-0.0,39.603,-15.82,0.21,2.503,55.423,0.281
Cycle 2,0.559,0.0,0.347,-0.0,39.34,-16.483,0.212,2.387,55.823,0.278
Cycle 3,0.559,0.0,0.347,-0.0,39.243,-16.949,0.212,2.315,56.192,0.278
Average,0.559,,0.348,,39.395,-16.417,0.211,2.402,55.813,0.279
