Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.557,0.0,0.34,-0.0,39.127,-18.97,0.216,2.063,58.096,0.273
Cycle 2,0.557,0.0,0.34,-0.0,38.525,-19.62,0.217,1.964,58.145,0.272
Cycle 3,0.554,0.0,0.342,-0.0,38.077,-19.977,0.212,1.906,58.054,0.278
Average,0.556,,0.341,,38.576,-19.522,0.215,1.977,58.098,0.274
