Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_E_RHE(V),Anodic_I_RHE(A),Cathodic_E_RHE(V),Cathodic_I_RHE(A)
Cycle 1,0.643157958984375,1.59393310546875e-05,-0.31207275390625,-1.40716552734375e-06,1.2893274576822917,1.59393310546875e-05,0.33409674479166673,-1.40716552734375e-06
Cycle 2,0.64813232421875,1.439208984375e-05,-0.31219482421875,-1.6571044921875e-06,1.2943018229166667,1.439208984375e-05,0.33397467447916673,-1.6571044921875e-06
Cycle 3,0.650634765625,1.40472412109375e-05,-0.312042236328125,-1.81976318359375e-06,1.2968042643229167,1.40472412109375e-05,0.33412726236979173,-1.81976318359375e-06
Cycle 4,0.65057373046875,1.361083984375e-05,-0.314422607421875,-1.95648193359375e-06,1.2967432291666667,1.361083984375e-05,0.33174689127604173,-1.95648193359375e-06
Cycle 5,0.650604248046875,1.31256103515625e-05,-0.314453125,-1.91650390625e-06,1.2967737467447917,1.31256103515625e-05,0.33171637369791673,-1.91650390625e-06
Cycle 6,0.650634765625,1.2646484375e-05,-0.316864013671875,-1.954345703125e-06,1.2968042643229167,1.2646484375e-05,0.32930548502604173,-1.954345703125e-06
Cycle 7,0.650634765625,1.21795654296875e-05,-0.31927490234375,-1.93389892578125e-06,1.2968042643229167,1.21795654296875e-05,0.32689459635416673,-1.93389892578125e-06
Cycle 8,0.65069580078125,1.16973876953125e-05,-0.32177734375,-1.923828125e-06,1.2968652994791667,1.16973876953125e-05,0.32439215494791673,-1.923828125e-06
Cycle 9,0.65069580078125,1.12030029296875e-05,-0.326690673828125,-1.905517578125e-06,1.2968652994791667,1.12030029296875e-05,0.31947882486979173,-1.905517578125e-06
Cycle 10,0.650634765625,1.07086181640625e-05,-0.331573486328125,-1.81976318359375e-06,1.2968042643229167,1.07086181640625e-05,0.31459601236979173,-1.81976318359375e-06
Cycle 11,0.6507568359375,1.025390625e-05,-0.336395263671875,-1.7633056640625e-06,1.2969263346354167,1.025390625e-05,0.30977423502604173,-1.7633056640625e-06
Cycle 12,0.650726318359375,9.82666015625e-06,-0.34130859375,-1.58660888671875e-06,1.2968958170572917,9.82666015625e-06,0.30486090494791673,-1.58660888671875e-06
Cycle 13,0.65069580078125,9.3658447265625e-06,-0.346221923828125,-1.4593505859375e-06,1.2968652994791667,9.3658447265625e-06,0.29994757486979173,-1.4593505859375e-06
Cycle 14,0.650665283203125,8.7890625e-06,-0.353546142578125,-1.24237060546875e-06,1.2968347819010417,8.7890625e-06,0.29262335611979173,-1.24237060546875e-06
Cycle 15,0.6507568359375,8.148193359375e-06,-0.3585205078125,-1.07696533203125e-06,1.2969263346354167,8.148193359375e-06,0.28764899088541673,-1.07696533203125e-06
Cycle 16,0.65069580078125,7.5164794921875e-06,-0.363372802734375,-9.2681884765625e-07,1.2968652994791667,7.5164794921875e-06,0.28279669596354173,-9.2681884765625e-07
Cycle 17,0.6507568359375,6.8511962890625e-06,-0.370697021484375,-7.7880859375e-07,1.2969263346354167,6.8511962890625e-06,0.27547247721354173,-7.7880859375e-07
Cycle 18,0.650787353515625,6.256103515625e-06,-0.380523681640625,-6.7596435546875e-07,1.2969568522135417,6.256103515625e-06,0.26564581705729173,-6.7596435546875e-07
Cycle 19,0.650787353515625,5.70068359375e-06,-0.395172119140625,-5.8135986328125e-07,1.2969568522135417,5.70068359375e-06,0.25099737955729173,-5.8135986328125e-07
