Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A)
Cycle 1,0.5592041015625,3.96026611328125e-05,0.34954833984375,-1.58203125e-05
Cycle 2,0.55914306640625,3.93402099609375e-05,0.3470458984375,-1.64825439453125e-05
Cycle 3,0.5592041015625,3.92425537109375e-05,0.34710693359375,-1.6949462890625e-05
