Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0,11474609375;21,834975944872;-1,898193359375E-08;-0,114471435546875;1;47;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1171875;22,0791169442556;-1,96990966796875E-08;-0,116973876953125;1;48;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,11962890625;22,3232579436392;-2,03094482421875E-08;-0,119354248046875;1;49;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1220703125;22,5673989430228;-2,0721435546875E-08;-0,121734619140625;1;50;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,12451171875;22,8115399424064;-2,1484375E-08;-0,12420654296875;1;51;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,126953125;23,05568094179;-2,2216796875E-08;-0,126708984375;1;52;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,12939453125;23,2998219411736;-2,2930908203125E-08;-0,1290283203125;1;53;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1318359375;23,5439629405572;-2,3529052734375E-08;-0,1314697265625;1;54;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,13427734375;23,7881039399408;-2,4322509765625E-08;-0,133941650390625;1;55;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,13671875;24,0322449393244;-2,5177001953125E-08;-0,13641357421875;1;56;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,13916015625;24,276385938708;-2,6031494140625E-08;-0,138885498046875;1;57;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1416015625;24,5205269380916;-2,6824951171875E-08;-0,14129638671875;1;58;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,14404296875;24,7646679374752;-2,764892578125E-08;-0,143707275390625;1;59;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,146484375;25,0088089368588;-2,8717041015625E-08;-0,14617919921875;1;60;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,14892578125;25,2529499362424;-2,9876708984375E-08;-0,1485595703125;1;61;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1513671875;25,497090935626;-3,0975341796875E-08;-0,1510009765625;1;62;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,15380859375;25,7412319350096;-3,173828125E-08;-0,1534423828125;1;63;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,15625;25,9853729343932;-3,3050537109375E-08;-0,155914306640625;1;64;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,15869140625;26,2295139337768;-3,436279296875E-08;-0,1583251953125;1;65;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1611328125;26,4736549331604;-3,5614013671875E-08;-0,160797119140625;1;66;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,16357421875;26,717795932544;-3,7078857421875E-08;-0,163177490234375;1;67;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,166015625;26,9619369319277;-3,839111328125E-08;-0,16558837890625;1;68;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,16845703125;27,2060779313113;-3,9886474609375E-08;-0,1680908203125;1;69;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1708984375;27,4502189306949;-4,1473388671875E-08;-0,170501708984375;1;70;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,17333984375;27,6943599300785;-4,296875E-08;-0,17291259765625;1;71;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,17578125;27,9385009294621;-4,449462890625E-08;-0,1754150390625;1;72;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,17822265625;28,1826419288457;-4,5867919921875E-08;-0,1778564453125;1;73;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1806640625;28,4267829282293;-4,742431640625E-08;-0,18023681640625;1;74;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,18310546875;28,6709239276129;-4,87060546875E-08;-0,18267822265625;1;75;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,185546875;28,9150649269965;-4,998779296875E-08;-0,185150146484375;1;76;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,18798828125;29,1592059263801;-5,11474609375E-08;-0,1875;1;77;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1904296875;29,4033469257637;-5,2276611328125E-08;-0,18994140625;1;78;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,19287109375;29,6474879251473;-5,3466796875E-08;-0,19244384765625;1;79;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,1953125;29,8916289245309;-5,438232421875E-08;-0,19488525390625;1;80;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,19775390625;30,1357699239145;-5,511474609375E-08;-0,197235107421875;1;81;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2001953125;30,3799109232981;-5,584716796875E-08;-0,199676513671875;1;82;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,20263671875;30,6240519226817;-5,682373046875E-08;-0,20220947265625;1;83;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,205078125;30,8681929220653;-5,74951171875E-08;-0,20465087890625;1;84;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,20751953125;31,1123339214489;-5,8197021484375E-08;-0,20697021484375;1;85;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2099609375;31,3564749208325;-5,8746337890625E-08;-0,209442138671875;1;86;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,21240234375;31,6006159202161;-5,950927734375E-08;-0,211944580078125;1;87;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,21484375;31,8447569195997;-6,011962890625E-08;-0,21435546875;1;88;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,21728515625;32,0888979189833;-6,0760498046875E-08;-0,216766357421875;1;89;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2197265625;32,3330389183669;-6,1614990234375E-08;-0,219207763671875;1;90;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,22216796875;32,5771799177505;-6,2347412109375E-08;-0,221649169921875;1;91;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,224609375;32,8213209171341;-6,34765625E-08;-0,224090576171875;1;92;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,22705078125;33,0654619165177;-6,4544677734375E-08;-0,226531982421875;1;93;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2294921875;33,3096029159013;-6,5673828125E-08;-0,22894287109375;1;94;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,23193359375;33,5537439152849;-6,6680908203125E-08;-0,2313232421875;1;95;0,000377255453169346;-1,23335473239422E-05;100 nA;
